Substance,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CO2,ATG,Antigua and Barbuda,4.710071402,4.634697873,5.39503759,5.514516026,4.844858121,5.753337937,5.197869405,5.684242071,5.737199943,5.394596628,5.488376721,4.907496388,6.179354366,3.915953242,5.134397506,5.123926818,5.192488404,6.805292468,6.964276619,6.365493413,6.414610701,6.702356935,6.957038666,6.350175412,6.50637519,6.482755915,6.358709669,6.030419946,5.941721631,6.129289767,5.899754931,5.769976278,6.19002237,8.119140768,8.216849514,7.980701521,8.018659539,8.174247703,8.126361442,8.968232837,9.050020069,10.27621028,10.97040255,10.88983414,11.1224907,10.83455812,10.85378152,7.657055935,8.282135561,8.133968542,6.647893088,7.338407585
CO2,AUS,Australia,12.57722738,12.45084365,12.69680317,13.23459265,13.73075197,14.054015,14.08986593,14.87197833,14.45183646,14.68933208,15.208187,15.08200567,15.29720356,14.32195794,14.48447053,15.17724578,14.96198714,15.40125851,15.68056874,16.36928882,16.32552222,16.22355943,16.21737873,16.26437624,16.39171131,16.77424647,17.17183966,17.47972938,18.41663442,18.50276356,18.60823154,18.75473445,18.98517329,18.72410314,19.17632183,19.09128766,19.07809294,19.24186124,19.06204645,18.98574178,18.45501493,18.05762706,17.78245225,17.21769245,16.61138884,16.64309238,16.77696067,16.73143874,16.42108757,16.21291559,14.83487336,14.31488881
CO2,AUT,Austria,7.191886238,7.456340097,7.731703452,8.137191056,7.801577637,7.486750814,8.162799666,7.816826728,8.097453976,8.430544951,8.188664365,7.762272293,7.483529835,7.484337753,7.721491201,7.897268388,7.727641287,7.796991871,7.592391895,7.566621416,8.120105934,8.562535343,7.841964983,7.793214462,7.810446998,8.156073234,8.611087239,8.552042597,8.611622487,8.362589995,8.424898354,8.980535047,9.136786224,9.715556866,9.811431939,9.835473324,9.55109179,9.170374763,9.086993187,8.226893576,8.889031204,8.637674442,8.225442328,8.234153098,7.761120155,7.873475792,7.902133909,8.139957234,7.77782688,7.980190951,7.210128668,7.500022082
CO2,AZE,Azerbaijan,6.211517091,6.095199294,6.434287102,6.857798255,7.258388306,7.919081177,8.143949602,8.398492227,8.666745695,8.92942631,9.307035817,9.460927927,9.53362391,9.679469396,9.78240223,9.79788505,10.04422444,10.23560757,10.21463767,10.09995137,7.544621513,7.230428749,5.797546315,5.024510868,4.408443595,4.226275829,3.505781709,3.381620683,3.35525161,3.289161059,3.454825078,3.258732662,3.199105759,3.464732776,3.395924108,3.571184828,3.582663921,3.215009076,3.51078097,2.899051691,2.731116586,3.051490851,3.317041889,3.37410747,3.475138686,3.383544667,3.385717684,3.329619249,3.38431059,3.640479495,3.562763074,3.645254245
CO2,BDI,Burundi,0.021147777,0.020886247,0.02047945,0.020833484,0.021996379,0.022753342,0.02157582,0.021576435,0.021107059,0.022778324,0.023402551,0.024053636,0.020120108,0.022440123,0.025939657,0.025620575,0.026954776,0.034601119,0.047100628,0.049398342,0.045267785,0.059614348,0.047686154,0.051835186,0.052936254,0.051458082,0.054089058,0.054731591,0.057030249,0.057751596,0.052610561,0.0403545,0.036279039,0.029210578,0.033914095,0.027805385,0.033201242,0.051154147,0.029610055,0.028619159,0.03982598,0.046258506,0.042846616,0.04668554,0.040540432,0.041623165,0.044140941,0.048908261,0.062931511,0.064433092,0.055877095,0.057732707
CO2,BEL,Belgium,14.64474072,13.52241143,14.66217881,15.11949729,14.95937069,13.15610341,14.10572251,13.81131809,14.22930057,15.1448775,14.046615,12.8204814,12.02721374,11.03769891,11.31148488,11.0531907,11.09672375,11.09298853,11.30574486,11.38511606,11.65578617,12.00682028,11.75324026,11.5167384,11.97833496,12.06583138,12.51175177,12.19621942,12.51489347,12.07311677,12.22894464,12.29096822,11.52284856,11.93570415,11.77869144,11.3155644,11.07871494,10.64118294,10.72096639,9.885977489,10.53643708,9.527936402,9.335444955,9.411862506,8.736827772,9.104787351,8.952086821,8.759718427,8.769945741,8.673894534,7.806714857,8.220382226
CO2,BEN,Benin,0.110038344,0.124633119,0.154791402,0.15611682,0.156549691,0.171148177,0.112476038,0.127556344,0.132072206,0.143983067,0.147201647,0.11985141,0.134930195,0.129576728,0.129366458,0.147794115,0.129174143,0.114351133,0.100777779,0.086576675,0.083397583,0.071381979,0.074880969,0.073292079,0.072039654,0.071164567,0.180208266,0.221328119,0.207133247,0.221098586,0.228933532,0.26628633,0.298076277,0.323473208,0.334449087,0.355624765,0.47429468,0.523865911,0.5056831,0.527262328,0.555249698,0.527082565,0.488279899,0.499373058,0.533150502,0.551389154,0.655375272,0.649968914,0.719950673,0.687797312,0.66211252,0.693115169
CO2,BFA,Burkina Faso,0.051425837,0.05063906,0.049338667,0.049979333,0.052644294,0.054440704,0.051461025,0.051544087,0.050550828,0.054950436,0.05655598,0.051583889,0.048158097,0.047974821,0.045809078,0.043824039,0.05348797,0.066972555,0.063991348,0.052906054,0.04683804,0.060813535,0.052672378,0.053768157,0.057107817,0.057123147,0.060691926,0.095664673,0.087729032,0.087910724,0.087406103,0.09584138,0.096632118,0.103749597,0.091235665,0.094393001,0.091633128,0.125134399,0.140043394,0.130664963,0.13600974,0.138582434,0.15503803,0.175823875,0.153757433,0.210513736,0.200237093,0.229535386,0.243089577,0.246160322,0.236797972,0.246074118
CO2,BGD,Bangladesh,0.051556711,0.050125065,0.052338013,0.060649346,0.06271394,0.073523934,0.076974564,0.077431511,0.080841147,0.087240935,0.095446048,0.090281026,0.095805617,0.099018472,0.090521783,0.101650581,0.109811393,0.116759913,0.124089357,0.132024878,0.135679025,0.126063196,0.137755742,0.142248372,0.150369222,0.179403541,0.178733699,0.188254565,0.188418446,0.197493497,0.209480537,0.241139231,0.249228381,0.255293289,0.265283873,0.278478445,0.295419706,0.308726105,0.341466254,0.358304157,0.393064228,0.413381175,0.431665821,0.4415045,0.45942456,0.518142033,0.525271803,0.555065519,0.58125381,0.623783403,0.613418259,0.623133765
CO2,BGR,Bulgaria,8.296186246,8.235373091,8.463027801,8.570688546,8.69134841,9.209965292,9.292601304,9.593189958,9.886385482,10.22229364,10.53612493,10.05431157,10.26139145,10.11433791,9.923168455,10.18333973,10.31878074,10.37168899,10.29237629,10.2177368,8.950854532,7.352249039,7.113921854,7.289273864,7.05380266,7.282531043,7.410841633,7.211102737,6.954489242,6.185481086,5.979590206,6.284180599,5.978002522,6.779807745,6.565280067,6.76319422,6.963676954,7.515407819,7.158323932,6.12473748,6.513440741,7.279643196,6.652318793,5.970366258,6.351579648,6.743889219,6.392393733,6.745686505,6.383479858,6.16187859,5.445575371,6.332613641
